company,location,state,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,role,department,employee_type,reason,company_size,source
Ather Energy,Chennai,Tamil Nadu,Automotive,472,0.098,2026-08-12,Late Stage,India,500,,Data Science,Full-time,Merger and acquisition,Large,Synthetic Practice Data
PhonePe,New Delhi,Delhi,FinTech,167,0.178,2022-10-14,Late Stage,India,2200,HR Executive,Human Resources,Intern,Automation,Large,Synthetic Practice Data
Accenture India,Chennai,Tamil Nadu,IT Services,116,0.226,2024-01-08,Private,India,0,,Human Resources,Part-time,Economic slowdown,Small,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,64,0.08,2023-02-21,Late Stage,India,5500,Data Scientist,Data Science,Full-time,Market conditions,Medium,Synthetic Practice Data
Paytm,Bengaluru,Karnataka,FinTech,523,0.095,2026-07-07,Post-IPO,India,5000,QA Engineer,Quality Assurance,Full-time,Merger and acquisition,Startup,Synthetic Practice Data
PhonePe,New Delhi,Delhi,FinTech,146,0.13,2026-02-07,Late Stage,India,2200,Product Manager,Product,Contract,Strategic restructuring,Medium,Synthetic Practice Data
TCS,Hyderabad,Telangana,IT Services,762,0.029,2025-12-16,Post-IPO,India,0,Sales Executive,Sales,Part-time,Strategic restructuring,Enterprise,Synthetic Practice Data
Freshworks,Hyderabad,Telangana,SaaS,219,0.217,2024-02-11,Post-IPO,India,484,Senior Software Engineer,Engineering,Part-time,Performance optimization,Enterprise,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,597,0.067,2025-09-07,Late Stage,India,5500,Recruiter,Human Resources,Intern,Business shutdown,Startup,Synthetic Practice Data
Infosys,Hyderabad,Telangana,IT Services,310,0.093,2025-03-17,Post-IPO,India,0,Finance Analyst,Finance,Part-time,Merger and acquisition,Startup,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,566,0.095,2023-08-04,Post-IPO,India,0,Data Scientist,Data Science,Full-time,Strategic restructuring,Small,Synthetic Practice Data
Wipro,Hyderabad,Telangana,IT Services,250,0.115,2023-09-21,Post-IPO,India,0,UI/UX Designer,Design,Part-time,Business shutdown,Large,Synthetic Practice Data
Freshworks,Bengaluru,Karnataka,SaaS,997,0.108,2023-01-22,Post-IPO,India,484,Customer Support Executive,Customer Support,Part-time,Strategic restructuring,Enterprise,Synthetic Practice Data
Wipro,Hyderabad,Telangana,IT Services,464,0.099,2024-06-30,Post-IPO,India,0,Software Engineer,Engineering,Intern,Automation,Medium,Synthetic Practice Data
Tech Mahindra,Bengaluru,Karnataka,IT Services,274,0.242,2025-05-30,Post-IPO,India,0,DevOps Engineer,Engineering,Part-time,Cost cutting,Startup,Synthetic Practice Data
Infosys,Bengaluru,Karnataka,IT Services,413,0.202,2025-05-20,Post-IPO,India,0,Senior Software Engineer,Engineering,Full-time,Automation,Startup,Synthetic Practice Data
Paytm,Mumbai,Maharashtra,FinTech,35,0.052,2024-03-15,Post-IPO,India,5000,Project Manager,Project Management,Contract,Cost cutting,Small,Synthetic Practice Data
CRED,Gurugram,Haryana,FinTech,680,0.024,2026-06-28,Late Stage,India,1000,Data Analyst,Analytics,Intern,Strategic restructuring,Large,Synthetic Practice Data
CRED,Bengaluru,Karnataka,FinTech,392,0.038,2026-07-25,Late Stage,India,1000,Data Scientist,Data Science,Contract,Business shutdown,Small,Synthetic Practice Data
Myntra,Gurugram,Haryana,E-commerce,388,0.104,2026-06-29,Late Stage,India,500,QA Engineer,Quality Assurance,Intern,Merger and acquisition,Medium,Synthetic Practice Data
Paytm,Mumbai,Maharashtra,FinTech,387,0.122,2023-12-24,Post-IPO,India,5000,Marketing Executive,Marketing,Full-time,Restructuring,Medium,Synthetic Practice Data
HCLTech,Bengaluru,Karnataka,IT Services,920,0.135,2025-05-03,Post-IPO,India,0,Customer Support Executive,Customer Support,Intern,Funding issues,Small,Synthetic Practice Data
Meesho,Bengaluru,Karnataka,E-commerce,652,0.094,2021-02-08,Late Stage,India,1200,Project Manager,Project Management,Contract,Restructuring,Enterprise,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,74,0.045,2021-10-12,Post-IPO,India,0,Senior Software Engineer,Engineering,Intern,Market conditions,Medium,Synthetic Practice Data
Zomato,Mumbai,Maharashtra,Food Delivery,818,0.076,2022-08-18,Post-IPO,India,2500,Product Manager,Product,Intern,Merger and acquisition,Large,Synthetic Practice Data
Curefit, Hyderabad,Telangana,HealthTech,83,0.061,2025-10-28,Late Stage,India,700,Product Manager,Product,Contract,Funding issues,Enterprise,Synthetic Practice Data
BYJU'S,Gurugram,Haryana,EdTech,29,0.059,2022-09-05,Late Stage,India,5500,Software Engineer,Engineering,Full-time,Merger and acquisition,Enterprise,Synthetic Practice Data
Moglix,Bengaluru,Karnataka,E-commerce,672,0.096,2025-06-25,Late Stage,India,650,Sales Executive,Sales,Contract,Funding issues,Large,Synthetic Practice Data
ShareChat,Mumbai,Maharashtra,Social Media,476,0.054,2024-03-06,Late Stage,India,1300,Product Manager,Product,Intern,Economic slowdown,Startup,Synthetic Practice Data
Dream11,Mumbai,Maharashtra,Gaming,530,0.094,2024-09-16,Late Stage,India,1000,HR Executive,Human Resources,Intern,Cost cutting,Medium,Synthetic Practice Data
Ola,Chennai,Tamil Nadu,Transportation,605,0.085,2022-03-14,Late Stage,India,3200,Business Analyst,Business,Intern,Market conditions,Medium,Synthetic Practice Data
Accenture India,Bengaluru,Karnataka,IT Services,227,0.243,2025-07-13,Private,India,0,QA Engineer,Quality Assurance,Part-time,Performance optimization,Startup,Synthetic Practice Data
ShareChat,Mumbai,Maharashtra,social media,10,0.18,2022-07-08,Late Stage,India,1300,DevOps Engineer,Engineering,Contract,Economic slowdown,Large,Synthetic Practice Data
Wipro,Kolkata,West Bengal,IT Services,649,0.143,2022-02-23,Post-IPO,India,0,Customer Support Executive,Customer Support,Contract,Economic slowdown,Large,Synthetic Practice Data
Dream11,Bengaluru,Karnataka,Gaming,256,0.222,2021-11-19,Late Stage,India,1000,Product Manager,Product,Full-time,Restructuring,Large,Synthetic Practice Data
Flipkart,Bengaluru,Karnataka,E-commerce,162,0.146,2026-01-12,Late Stage,India,8700,Finance Analyst,Finance,Full-time,Economic slowdown,Startup,Synthetic Practice Data
Myntra,Mumbai,Maharashtra,E-commerce,194,0.151,2023-07-26,Late Stage,India,500,Project Manager,Project Management,Intern,Restructuring,Medium,Synthetic Practice Data
HCLTech,Bengaluru,Karnataka,IT Services,576,0.068,2026-07-29,Post-IPO,India,0,Recruiter,Human Resources,Full-time,Performance optimization,Medium,Synthetic Practice Data
PharmEasy,New Delhi,Delhi,HealthTech,214,0.103,2023-09-10,Late Stage,India,1200,Project Manager,Project Management,Part-time,Market conditions,Medium,Synthetic Practice Data
Zomato,Bengaluru,Karnataka,Food Delivery,1167,0.149,2022-09-24,Post-IPO,India,2500,Data Analyst,analytics,Part-time,Economic slowdown,Small,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,223,0.172,2023-11-15,Late Stage,India,500,Software Engineer,Engineering,Contract,Business shutdown,Medium,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,55,0.021,2024-06-30,Late Stage,India,5500,Product Manager,Product,Contract,Strategic restructuring,Large,Synthetic Practice Data
Myntra,Bengaluru,Karnataka,E-commerce,193,0.023,2026-07-07,Late Stage,India,500,Finance Analyst,Finance,Part-time,Restructuring,Large,Synthetic Practice Data
Unacademy,Bengaluru,Karnataka,EdTech,161,0.209,2023-09-20,Late Stage,India,800,UI/UX Designer,Design,Intern,Cost cutting,Enterprise,Synthetic Practice Data
Meesho,Bengaluru,Karnataka,E-commerce,350,0.038,2021-07-15,Late Stage,India,1200,Operations Executive,Operations,Contract,Business shutdown,Medium,Synthetic Practice Data
Ola,Bengaluru,Karnataka ,Transportation,348,0.172,2025-12-07,Late Stage,India,3200,Data Analyst,Analytics,Intern,Business shutdown,Small,Synthetic Practice Data
Curefit,Mumbai,Maharashtra,HealthTech,136,0.124,2023-03-17,Late Stage,India,700,Data Analyst,Analytics,Intern,Cost cutting,Large,Synthetic Practice Data
Ola,New Delhi,Delhi,Transportation,213,0.127,2025-12-04,Late Stage,India,3200,Product Manager,Product,Full-time,Restructuring,Large,Synthetic Practice Data
Myntra,Bengaluru,Karnataka,E-commerce,340,0.109,2025-06-10,Late Stage,India,500,UI/UX Designer,Design,Part-time,Cost cutting,Enterprise,Synthetic Practice Data
Ola,Chennai,Tamil Nadu,Transportation,355,0.159,2024-10-10,Late Stage,India,3200,Finance Analyst,Finance,Intern,Funding issues,Medium,Synthetic Practice Data
Dream11,Bengaluru,Karnataka,Gaming,35,0.082,2021-08-06,Late Stage,India,1000,Software Engineer,Engineering,Full-time,Cost cutting,Small,Synthetic Practice Data
Udaan,Gurugram,Haryana,E-commerce,635,0.098,2021-09-27,Late Stage,India,1200,Senior Software Engineer,Engineering,Part-time,Restructuring,Startup,Synthetic Practice Data
Tech Mahindra,Bengaluru,Karnataka,IT Services,1162,0.076,2025-05-16,Post-IPO,India,0,Operations Executive,Operations,Full-time,Business shutdown,Enterprise,Synthetic Practice Data
Accenture India,Bengaluru,Karnataka,IT Services,163,0.188,2026-01-02,Private,India,0,Customer Support Executive,Customer Support,Part-time,Business shutdown,Small,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,127,0.218,2021-06-27,Late Stage,India,5500,Senior Software Engineer,Engineering,Contract,Automation,Medium,Synthetic Practice Data
Freshworks,Bengaluru,Karnataka,SaaS,913,0.082,2025-06-27,Post-IPO,India,484,Operations Executive,Operations,Intern,Performance optimization,Medium,Synthetic Practice Data
Lenskart,Mumbai,Maharashtra,,491,0.191,2024-05-11,Late Stage,India,1500,Data Analyst,Analytics,Contract,Automation,Large,Synthetic Practice Data
Flipkart,Mumbai,Maharashtra,E-commerce,262,0.091,2023-02-22,Late Stage,India,8700,Operations Executive,Operations,Full-time,Economic slowdown,Medium,Synthetic Practice Data
Moglix,Noida,Uttar Pradesh,E-commerce,517,0.142,2024-12-30,Late Stage,India,650,Software Engineer,Engineering,Full-time,Economic slowdown,Small,Synthetic Practice Data
Unacademy,New Delhi,Delhi,EdTech,477,0.024,2025-04-06,Late Stage,India,800,UI/UX Designer,,Full-time,Market conditions,Large,Synthetic Practice Data
Lenskart,Gurugram,Haryana,Retail,177,0.042,2021-12-15,Late Stage,India,1500,Product Manager,Product,Part-time,Merger and acquisition,Enterprise,Synthetic Practice Data
OYO,Bengaluru,Karnataka,Travel,613,0.139,2023-10-27,Post-IPO,India,4300,Software Engineer,Engineering,Contract,Market conditions,Medium,Synthetic Practice Data
PhonePe,New Delhi,Delhi,FinTech,184,0.161,2024-12-20,Late Stage,India,2200,Marketing Executive,Marketing,Intern,Strategic restructuring,Startup,Synthetic Practice Data
Zomato,Mumbai,Maharashtra,Food Delivery,1100,0.126,2023-02-10,Post-IPO,India,2500,HR Executive,Human Resources,Full-time,Restructuring,Medium,Synthetic Practice Data
Paytm,Mumbai,Maharashtra,FinTech,159,0.128,2024-05-25,Post-IPO,India,5000,Data Analyst,Analytics,Intern,Business shutdown,Enterprise,Synthetic Practice Data
Policybazaar,Gurugram,Haryana,Financial Services,122,0.217,2024-01-29,Post-IPO,India,800,Software Engineer,Engineering,Full-time,Cost cutting,Medium,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,403,0.127,2025-10-20,Late Stage,India,1200,Software Engineer,Engineering,Intern,Strategic restructuring,Enterprise,Synthetic Practice Data
CRED,Mumbai,Maharashtra,FinTech,241,0.131,2021-07-24,Late Stage,India,1000,Business Analyst,Business,Part-time,Restructuring,Enterprise,Synthetic Practice Data
Wipro,Hyderabad,Telangana,IT Services,410,0.046,2021-03-07,Post-IPO,India,0,Data Analyst,Analytics,Full-time,Performance optimization,Startup,Synthetic Practice Data
PhonePe,Mumbai,Maharashtra,FinTech,201,0.113,2023-07-28,Late Stage,India,2200,HR Executive,Human Resources,Full-time,Funding issues,Medium,Synthetic Practice Data
Policybazaar,Gurugram,Haryana,Financial Services,1119,0.114,2023-09-15,Post-IPO,India,800,DevOps Engineer,Engineering,Part-time,Cost cutting,Large,Synthetic Practice Data
PhonePe,Bengaluru,Karnataka,FinTech,173,0.067,2023-01-19,Late Stage,India,2200,Sales Executive,Sales,Intern,Cost cutting,Enterprise,Synthetic Practice Data
PhonePe,New Delhi,Delhi,FinTech,62,0.049,2022-06-21,Late Stage,India,2200,Finance Analyst,Finance,Intern,Business shutdown,Large,Synthetic Practice Data
Lenskart,New Delhi,Delhi,Retail,129,0.036,2025-08-09,Late Stage,India,1500,Data Analyst,Analytics,Part-time,Performance optimization,Startup,Synthetic Practice Data
Razorpay,Bengaluru,Karnataka,FinTech,131,0.061,2025-05-29,Late Stage,India,800,Data Analyst,Analytics,Part-time,Merger and acquisition,Small,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,12,0.064,2024-05-07,Late Stage,India,500,Recruiter,Human Resources,Part-time,Strategic restructuring,Enterprise,Synthetic Practice Data
Paytm,Mumbai,Maharashtra,FinTech,386,0.087,2025-09-05,Post-IPO,India,5000,Software Engineer,Engineering,Part-time,Cost cutting,Large,Synthetic Practice Data
Paytm,Mumbai,Maharashtra,FinTech,910,0.017,2024-02-28,Post-IPO,India,5000,Business Analyst,Business,Intern,Cost cutting,Startup,Synthetic Practice Data
Swiggy,Hyderabad,Telangana,Food Delivery,1149,0.014,2021-02-13,Post-IPO,India,3600,DevOps Engineer,Engineering,Part-time,Strategic restructuring,Startup,Synthetic Practice Data
Flipkart,Bengaluru,Karnataka,E-commerce,683,0.079,2023-11-15,Late Stage,India,8700,Senior Software Engineer,Engineering,Intern,Cost cutting,Medium,Synthetic Practice Data
Myntra,Gurugram,Haryana,E-commerce,198,0.216,2026-07-06,Late Stage,India,500,Finance Analyst,Finance,Part-time,Automation,Small,Synthetic Practice Data
Lenskart,Bengaluru,Karnataka,Retail,416,0.069,2021-01-31,Late Stage,India,1500,UI/UX Designer,Design,Contract,Strategic restructuring,Medium,Synthetic Practice Data
Accenture India,Chennai,Tamil Nadu,IT Services,175,0.186,2024-12-21,Private,India,0,HR Executive,Human Resources,Contract,Restructuring,Large,Synthetic Practice Data
Infosys,Pune,Maharashtra,IT Services,122,0.11,2026-01-14,Post-IPO,India,0,Operations Executive,Operations,Part-time,Strategic restructuring,Medium,Synthetic Practice Data
OYO,Mumbai,Maharashtra,Travel,1084,0.074,2021-02-20,Post-IPO,India,4300,Recruiter,Human Resources,Part-time,Strategic restructuring,Enterprise,Synthetic Practice Data
PhonePe,Mumbai,Maharashtra,FinTech,481,0.053,2025-09-21,Late Stage,India,2200,Data Analyst,Analytics,Part-time,Performance optimization,Small,Synthetic Practice Data
Tech Mahindra,Bengaluru,Karnataka,IT Services,301,0.232,2024-11-08,Post-IPO,India,0,Business Analyst,Business,Intern,Merger and acquisition,Medium,Synthetic Practice Data
Zomato,New Delhi,Delhi,Food Delivery,42,0.067,2023-04-17,Post-IPO,India,2500,Marketing Executive,Marketing,Intern,Economic slowdown,Medium,Synthetic Practice Data
Wipro ,Kolkata,West Bengal,IT Services,1094,0.03,2024-10-12,Post-IPO,India,0,Software Engineer,Engineering,Intern,Cost cutting,Enterprise,Synthetic Practice Data
Curefit,Mumbai,Maharashtra,HealthTech,102,0.128,2026-01-03,Late Stage,India,700,UI/UX Designer,Design,Full-time,Economic slowdown,Large,Synthetic Practice Data
Ola,Bengaluru,Karnataka,Transportation,503,0.058,2025-04-26,Late Stage,India,3200,Customer Support Executive,Customer Support,Contract,Economic slowdown,Enterprise,Synthetic Practice Data
OYO,Bengaluru,Karnataka, Travel,388,0.079,2024-02-06,Post-IPO,India,4300,DevOps Engineer,Engineering,Intern,Business shutdown,Large,Synthetic Practice Data
ShareChat,Bengaluru,Karnataka,Social Media,491,0.039,2026-08-10,Late Stage,India,1300,Software Engineer,Engineering,Intern,Restructuring,Enterprise,Synthetic Practice Data
Unacademy,New Delhi,Delhi,EdTech,609,0.044,2024-04-22,Late Stage,India,800,Software Engineer,Engineering,Intern,Strategic restructuring,Large,Synthetic Practice Data
Wipro,,Maharashtra,IT Services,352,0.156,2025-06-17,Post-IPO,India,0,Operations Executive,Operations,Intern,Strategic restructuring,Startup,Synthetic Practice Data
Paytm,Noida,Uttar Pradesh,FinTech,670,0.128,2022-08-20,Post-IPO,India,5000,QA Engineer,Quality Assurance,Contract,Cost cutting,Medium,Synthetic Practice Data
Paytm,Mumbai,Maharashtra,FinTech,649,0.109,2021-10-26,Post-IPO,India,5000,HR Executive,Human Resources,Contract,Business shutdown,Enterprise,Synthetic Practice Data
Freshworks,Hyderabad,Telangana,SaaS,534,0.083,2025-07-28,Post-IPO,India,484,Sales Executive,Sales,Intern,Economic slowdown,Enterprise,Synthetic Practice Data
Zomato,New Delhi,Delhi,Food Delivery,1171,0.068,2025-09-03,Post-IPO,India,2500,Operations Executive,Operations,Full-time,Merger and acquisition,Enterprise,Synthetic Practice Data
CRED,Bengaluru,Karnataka,FinTech,221,0.109,2022-12-07,Late Stage,India,,Operations Executive,Operations,Full-time,Business shutdown,Enterprise,Synthetic Practice Data
CRED,Bengaluru,Karnataka,FinTech,539,0.127,2026-03-20,Late Stage,India,1000,Data Scientist,Data Science,Intern,Restructuring,Medium,Synthetic Practice Data
Udaan,Bengaluru,Karnataka,E-commerce,425,0.23,2021-07-14,Late Stage,India,1200,Marketing Executive,Marketing,Part-time,Funding issues,Medium,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,362,0.024,2022-01-13,Late Stage,India,500,Data Analyst,analytics,Contract,Automation,Large,Synthetic Practice Data
Lenskart,Bengaluru,Karnataka,Retail,77,0.041,2021-06-03,Late Stage,India,1500,Business Analyst,Business,Full-time,Business shutdown,Large,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,538,0.012,2026-08-01,Post-IPO,India,0,Business Analyst,Business,Full-time,Automation,Enterprise,Synthetic Practice Data
Ola,Bengaluru,Karnataka,Transportation,209,0.067,2022-03-15,Late Stage,India,3200,Recruiter,Human Resources,Full-time,Performance optimization,Enterprise,Synthetic Practice Data
PhonePe,Mumbai,Maharashtra,FinTech,25,0.117,2025-10-11,Late Stage,India,2200,,Engineering,Contract,Restructuring,Small,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,298,0.196,2025-11-28,Late Stage,India,1200,HR Executive,Human Resources,Full-time,Market conditions,Large,Synthetic Practice Data
Razorpay,Bengaluru,Karnataka,FinTech,645,0.123,2021-12-20,Late Stage,India,800,Project Manager,Project Management,Full-time,Restructuring,Small,Synthetic Practice Data
Zomato,New Delhi,Delhi,Food Delivery,698,0.07,2022-09-27,Post-IPO,India,2500,Senior Software Engineer,Engineering,Part-time,Restructuring,Small,Synthetic Practice Data
TCS,Bengaluru,Karnataka,IT Services,162,0.053,2021-05-06,Post-IPO,India,0,Data Analyst,Analytics,Intern,Restructuring,Enterprise,Synthetic Practice Data
Dream11,Bengaluru,Karnataka,Gaming,427,0.031,2025-03-25,Late Stage,India,1000,Senior Software Engineer,Engineering,Contract,Strategic restructuring,Enterprise,Synthetic Practice Data
Meesho,Mumbai,Maharashtra,E-commerce,700,0.032,2025-05-31,Late Stage,India,1200,Sales Executive,Sales,Part-time,Funding issues,Startup,Synthetic Practice Data
Paytm,Noida,Uttar Pradesh,FinTech,859,0.041,2022-11-14,Post-IPO,India,5000,HR Executive,Human Resources,Intern,Merger and acquisition,Small,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,694,0.055,2022-06-03,Late Stage,India,500,Operations Executive,Operations,Full-time,Market conditions,Startup,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,189,0.046,2021-06-03,Late Stage,India,5500,Business Analyst,Business,Part-time,Performance optimization,Startup,Synthetic Practice Data
Dream11,Gurugram,Haryana,Gaming,622,0.051,2026-05-09,Late Stage,India,1000,Customer Support Executive,Customer Support,Full-time,Cost cutting,Large,Synthetic Practice Data
Curefit,Hyderabad,Telangana,HealthTech,146,0.03,2024-10-18,Late Stage,India,700,QA Engineer,Quality Assurance,Part-time,Economic slowdown,Large,Synthetic Practice Data
ShareChat,Mumbai,Maharashtra,Social Media,287,0.231,2025-02-20,Late Stage,India,1300,Sales Executive,Sales,Full-time,Business shutdown,Startup,Synthetic Practice Data
Freshworks,Chennai,Tamil Nadu,SaaS,736,0.096,2025-12-17,Post-IPO,India,484,HR Executive,Human Resources,Contract,Strategic restructuring,Small,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,362,0.05,2023-11-20,Late Stage,India,5500,Business Analyst,Business,Intern,Business shutdown,Large,Synthetic Practice Data
Flipkart,Bengaluru,Karnataka,E-commerce,352,0.199,2022-04-04,Late Stage,India,8700,Software Engineer,Engineering,Full-time,Merger and acquisition,Small,Synthetic Practice Data
Ola,Chennai,Tamil Nadu,Transportation,675,0.049,2022-04-10,Late Stage,India,3200,Marketing Executive,Marketing,Part-time,Cost cutting,Small,Synthetic Practice Data
Meesho,Mumbai,Maharashtra,E-commerce,478,0.045,2024-06-01,Late Stage,India,1200,Finance Analyst,Finance,Contract,Cost cutting,Large,Synthetic Practice Data
HCLTech,Bengaluru,Karnataka,IT Services,471,0.123,2022-01-14,Post-IPO,India,0,Software Engineer,Engineering,Intern,Funding issues,Startup,Synthetic Practice Data
Unacademy,New Delhi,Delhi,EdTech,45,0.105,2022-08-27,Late Stage,India,800,DevOps Engineer,Engineering,Intern,Restructuring,Large,Synthetic Practice Data
Udaan,Bengaluru,Karnataka,E-commerce,154,0.193,2023-07-14,Late Stage,India,1200,Operations Executive,Operations,Full-time,Market conditions,Enterprise,Synthetic Practice Data
TCS,Chennai,Tamil Nadu,IT Services,1149,0.028,2021-12-20,Post-IPO,India,0,Sales Executive,Sales,Intern,Restructuring,Medium,Synthetic Practice Data
Myntra,Bengaluru,Karnataka,E-commerce,669,0.067,2021-05-19,Late Stage,India,,Operations Executive,Operations,Part-time,Business shutdown,Startup,Synthetic Practice Data
Freshworks,Chennai,Tamil Nadu,SaaS,1000,0.131,2023-09-30,Post-IPO,India,484,Marketing Executive,Marketing,Contract,Restructuring,Startup,Synthetic Practice Data
Moglix,Bengaluru,Karnataka,E-commerce,22,0.041,2022-06-12,Late Stage,India,650,QA Engineer,Quality Assurance,Intern,Strategic restructuring,Enterprise,Synthetic Practice Data
Razorpay,Gurugram,Haryana,FinTech,609,0.026,2026-07-05,Late Stage,India,800,Senior Software Engineer,Engineering,Part-time,Economic slowdown,Large,Synthetic Practice Data
Infosys,Chennai,Tamil Nadu,IT Services,490,0.154,2021-01-30,Post-IPO,India,0,Senior Software Engineer,Engineering,Contract,funding issues,Startup,Synthetic Practice Data
Swiggy,Hyderabad,Telangana,Food Delivery,82,0.177,2026-05-06,Post-IPO,India,3600,Business Analyst,Business,Full-time,Economic slowdown,Startup,Synthetic Practice Data
Dream11,Mumbai,Maharashtra,Gaming,188,0.13,2026-05-01,Late Stage,India,1000,DevOps Engineer,Engineering,Part-time,Performance optimization,Startup,Synthetic Practice Data
PhonePe,Bengaluru,Karnataka,FinTech,381,0.148,2022-07-02,Late Stage,India,2200,Business Analyst,Business,Full-time,Restructuring,Startup,Synthetic Practice Data
Freshworks,Hyderabad,Telangana,SaaS,350,0.035,2021-09-15,Post-IPO,India,484,Project Manager,Project Management,Part-time,Automation,Medium,Synthetic Practice Data
Flipkart,Mumbai,Maharashtra,E-commerce,573,0.092,2024-02-09,Late Stage,India,8700,Finance Analyst,Finance,Intern,Merger and acquisition,Enterprise,Synthetic Practice Data
Ola,Chennai,Tamil Nadu,Transportation,333,0.189,2026-07-06,Late Stage,India,3200,Customer Support Executive,Customer Support,Contract,Economic slowdown,Enterprise,Synthetic Practice Data
PharmEasy,New Delhi,Delhi,HealthTech,400,0.18,2022-07-22,Late Stage,India,1200,Marketing Executive,Marketing,Intern,Funding issues,Small,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,585,0.029,2025-02-16,Post-IPO,India,0,Software Engineer,Engineering,Intern,Strategic restructuring,Startup,Synthetic Practice Data
Udaan,Bengaluru,Karnataka,E-commerce,232,0.155,2026-05-03,Late Stage,India,1200,Finance Analyst,Finance,Contract,Automation,Large,Synthetic Practice Data
Lenskart,Mumbai,Maharashtra,Retail,105,0.07,2021-04-19,Late Stage,India,1500,Senior Software Engineer,Engineering,Full-time,Merger and acquisition,Small,Synthetic Practice Data
Infosys,Bengaluru,Karnataka,IT Services,811,0.027,2021-12-09,Post-IPO,India,0,UI/UX Designer,Design,Intern,Business shutdown,Small,Synthetic Practice Data
Curefit,Mumbai,Maharashtra,HealthTech,128,0.032,2026-03-16,Late Stage,India,700,Senior Software Engineer,Engineering,Part-time,Market conditions,Large,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,109,0.201,2021-12-18,Late Stage,India,500,Recruiter,Human Resources,Full-time,Cost cutting,Startup,Synthetic Practice Data
Moglix,Noida,Uttar Pradesh,E-commerce,341,0.195,2023-08-28,Late Stage,India,650,Finance Analyst,Finance,Intern,Restructuring,Small,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,575,0.053,2022-03-22,Late Stage,India,5500,Product Manager,Product,Intern,Cost cutting,Startup,Synthetic Practice Data
Swiggy,Mumbai,Maharashtra,Food Delivery,430,0.197,2024-12-23,Post-IPO,India,3600,Recruiter,Human Resources,Intern,Strategic restructuring,Small,Synthetic Practice Data
Zomato,Bengaluru,Karnataka,Food Delivery,73,0.196,2024-09-04,Post-IPO,India,2500,Customer Support Executive,Customer Support,Full-time,Economic slowdown,Startup,Synthetic Practice Data
Unacademy,Jaipur,Rajasthan,EdTech,31,0.069,2022-12-29,Late Stage,India,800,Data Scientist,Data Science,Part-time,Market conditions,Enterprise,Synthetic Practice Data
Policybazaar,Gurugram,Haryana,Financial Services,369,0.042,2023-08-08,Post-IPO,India,800,Customer Support Executive,Customer Support,Part-time,Merger and acquisition,Small,Synthetic Practice Data
Myntra,Gurugram,Haryana,E-commerce,571,0.131,2025-07-31,Late Stage,India,500,Sales Executive,Sales,Intern,Funding issues,Medium,Synthetic Practice Data
Moglix,Bengaluru,Karnataka,E-commerce,63,0.142,2021-05-03,Late Stage,India,650,Product Manager,Product,Part-time,Funding issues,Large,Synthetic Practice Data
Paytm,Bengaluru,Karnataka,FinTech,1086,0.117,2024-07-03,Post-IPO,India,5000,Senior Software Engineer,Engineering,Full-time,Cost cutting,Enterprise,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,688,0.034,2022-07-24,Late Stage,India,800,Customer Support Executive,Customer Support,Contract,Performance optimization,Enterprise,Synthetic Practice Data
Curefit,Mumbai,Maharashtra,HealthTech,269,0.104,2021-02-25,Late Stage,India,700,Project Manager,Project Management,Intern,Funding issues,Medium,Synthetic Practice Data
Wipro,Bengaluru,Karnataka,IT Services,86,0.062,2024-03-28,Post-IPO,India,0,Product Manager,Product,Part-time,Economic slowdown,Large,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,,633,0.129,2023-11-30,Late Stage,India,1200,HR Executive,Human Resources,Intern,Merger and acquisition,Enterprise,Synthetic Practice Data
OYO,Gurugram,Haryana,Travel,75,0.052,2022-12-31,Post-IPO,India,4300,Sales Executive,Sales,Intern,Performance optimization,Medium,Synthetic Practice Data
Lenskart,Bengaluru,Karnataka,Retail,161,0.14,2021-04-17,Late Stage,India,1500,Senior Software Engineer,Engineering,Contract,Performance optimization,Medium,Synthetic Practice Data
